side,size,result,pnl
P,50,L,-50
P,50,W,50
P,50,T,0.0
P,50,L,-50
P,60,L,-60
P,70,W,70
P,60,L,-60
P,70,L,-70
P,80,W,80
P,70,W,70
P,60,W,60
P,50,L,-50
P,60,L,-60
P,70,W,70
P,60,L,-60
P,70,W,70
P,60,W,60
P,60,L,-60
P,70,L,-70
P,80,L,-80
B,90,L,-90
P,100,T,0.0
B,100,L,-100
P,110,L,-110
B,120,L,-120
P,130,T,0.0
P,130,L,-130
P,140,L,-140
P,150,L,-150
B,160,T,0.0
P,160,W,160
B,150,W,142.5
P,140,L,-140
B,150,T,0.0
P,150,T,0.0
B,150,W,142.5
P,150,L,-150
B,170,L,-170
P,190,L,-190
B,210,L,-210
P,230,W,230
P,210,W,210
P,190,T,0.0
P,190,W,190
P,170,L,-170
P,190,W,190
P,170,L,-170
P,190,L,-190
P,210,W,210
P,190,L,-190
P,210,T,0.0
P,210,L,-210
P,230,W,230
P,220,W,220
P,200,T,0.0
P,200,W,200
P,180,W,180
P,170,W,170
P,160,W,160
P,150,W,150
P,160,,0
